depth,gasage,[CO2],sigma_[CO2],core,reference
2259.9,110770.0,254.0,1.6,3,2
2266.0,111626.0,263.9,0.7,3,3
2266.0,111626.0,263.9,0.7,3,2
2271.6,112457.0,268.7,0.6,3,3
2271.6,112457.0,268.7,0.6,3,2
2278.0,113431.0,276.1,0.6,3,3
2278.0,113431.0,276.1,0.6,3,2
2284.9,114436.0,269.4,1.4,3,3
2290.0,115154.0,277.7,0.6,3,3
2295.9,115981.0,277.7,1.0,3,3
2301.9,116817.0,280.2,1.0,3,3
2307.9,117620.0,281.3,1.4,3,3
2314.0,118459.0,280.0,1.2,3,3
2319.9,119346.0,285.9,1.0,3,3
2326.0,120357.0,285.1,1.3,3,3
2331.9,121353.0,280.4,1.1,3,3
2336.9,122247.0,279.8,1.3,3,3
